,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS13,SBS17,SBS18,SBS20,SBS26,SBS30
SAND,"[0, 1, 1]","[0, 1, 1]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[0, 0, 2]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[0, 0, 2]","[1, 0, 1]","[0, 0, 2]"
MADS box,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
Ets,"[0, 20, 2]","[7, 4, 11]","[4, 0, 18]","[14, 0, 8]","[0, 19, 3]","[3, 0, 19]","[0, 6, 16]","[1, 9, 12]","[19, 0, 3]","[0, 16, 6]","[8, 2, 12]","[1, 1, 20]"
CBF/NF-Y,"[2, 0, 2]","[3, 0, 1]","[0, 0, 4]","[0, 2, 2]","[2, 0, 2]","[3, 0, 1]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[2, 0, 2]","[0, 0, 4]","[0, 0, 4]"
TEA,"[2, 0, 1]","[0, 0, 3]","[1, 0, 2]","[0, 0, 3]","[2, 0, 1]","[2, 0, 1]","[1, 0, 2]","[0, 0, 3]","[0, 0, 3]","[1, 0, 2]","[0, 0, 3]","[0, 0, 3]"
GCM,"[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[0, 1, 0]"
Brinker,"[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]"
CUT; Homeodomain,"[2, 0, 2]","[1, 2, 1]","[2, 0, 2]","[0, 2, 2]","[3, 0, 1]","[3, 0, 1]","[0, 2, 2]","[0, 0, 4]","[2, 0, 2]","[2, 0, 2]","[0, 2, 2]","[2, 0, 2]"
CSL,"[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]"
Pipsqueak,"[2, 0, 0]","[2, 0, 0]","[0, 1, 1]","[0, 2, 0]","[1, 0, 1]","[2, 0, 0]","[2, 0, 0]","[0, 2, 0]","[2, 0, 0]","[1, 0, 1]","[0, 2, 0]","[2, 0, 0]"
TCR/CxC,"[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]"
Ets; AT hook,"[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]"
Rel,"[1, 1, 1]","[3, 0, 0]","[0, 0, 3]","[0, 0, 3]","[2, 1, 0]","[3, 0, 0]","[0, 0, 3]","[0, 2, 1]","[3, 0, 0]","[1, 0, 2]","[0, 2, 1]","[1, 0, 2]"
MYM-type ZF,"[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
CxxC; AT hook,"[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[0, 1, 0]"
